Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
12/09/1936,10:30,"Croydon, England",KLM Royal Dutch Airlines,,Croydon - Amsterdam,Douglas DC-2-115E,PH-AKL,1358,17,15,0,The aircraft crashed into houses while attempting to take off in heavy fog. A stewardess and the radio operator survived. Aircraft designer Juan de la Cieva killed.
12/15/1936,03:14,"Near Salt Lake City, Utah",Western Air Express,6,Burbank - Las Vegas - Salt Lake City,Boeing 247D,NC13370,1957,7,7,0,Crashed into Lone Peak while attempting to land at Salt Lake. Inability of the pilots to identify the south leg of the Salt Lake radio range due to a local staticondition which rendered both range receivers in the airplane inoperative.
12/18/1936,03:20,"Kellogg, Idaho",Northwest Orient Airlines,,,Lockheed 10 Electra,NC14935,,2,2,0,"The mail plane crashed into Early Creek Ridge, 15 miles south of Kellogg, in a blizzard."
12/19/1936,20:47,"Near Milford, Pennsylvania",Eastern Air Lines,14,"Miami, FL - Charleston, SC - Newark, NJ",Douglas DC-2-112,NC13732,1258,14,14,0,"Crashed into trees in poor weather while attempting to land at Newark. Error on the part of the pilot for attempting to get down under the overcast without first definitely proving his position.  Improper dispatching for clearing the flight into an area of predicted bad weather, particularly when the area cleared through did not permit a safe return, and staticonditions encountered which rendered reception of the radio range signals over the airplane's range receivers unintelligible."
12/23/1936,,"Near Dallas, Texas",Braniff Airways,,Test flight,Lockheed 10 Electra,NC14905,1018,6,6,0,After an attempted go-around the right engine failed and the plane crashed and burst into flames into a corn field..
12/26/1936,,"Nanking, China",China National Aviation Corporation,,,Douglas DC-2,NC14269,,,,,
12/27/1936,19:38,"Newhall, California",United Air Lines,34,Oakland - San Francisco - Los Angeles,Boeing 247-D,NC13355,1737,12,12,0,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather."
01/12/1937,11:07,"Near Newhall, California",Western Air Express,7,Salt Lake City - Burbank,Boeing 247B,NC13315,1696,13,5,0,"The aircraft crashed into Pinetos Peak, 4 miles southeast of Newhall while attempting to land at Burbank Airport in fog and rain. The pilot descended to a dangerously low altitude without positive knowledge of his position. African explorer, Martin Johnson, 52, killed. Johnson suffered a fractured skull in the crash and died the next day in a hospital."
01/26/1937,,"Oran, Algeria",Sabena,,Belgian Congo - Brussels,Sabca S-73,OO-AGR,,12,12,0,The mail plane crashed while en route.
02/09/1937,20:50,"Off San Francisco, California",United Air Lines,23,Los Angeles - San Francisco - Oakland,Douglas DC-3A,NC16073,1913,11,11,0,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3."
02/19/1937,13:40,"McPherson Ranges, Queensland, Australia",Airlines of Australia,,Brisbane - Sidney,Stinson Model A,VH-UHH,1926,7,5,0,
03/12/1937,,"Bathurst, Gambia",Deutsche Lufthansa,,"Las Palmas, Canary Islands - Bathhurst, Gambia",Heinkel He-111V2,D-ALIX,715,4,4,0,The German mail plane crashed into a swamp.
03/24/1937,,"Near Ouroux, France",Imperial Airways,,"Southhampton, England - Alexandria, Egypt",Short  S-23 (flying boat),G-ADVA,S-818,6,5,0,Crashed into a mountainside in a snowstorm.
03/25/1937,18:40,"Clifton, Pennsylvania",Trans Continental and Western Air,15A,Newark - Camden - Pittsburg,Douglas DC-2-112,NC13730,1256,13,13,0,Crashed while attempting to land. Heavy icing which rendered the plane uncontrollable.
03/26/1937,,"Wetnum, Germany",Deutsche Lufthansa,,,Junkers JU-52/3m,D-UPOZ,4207,6,2,0,Engine failure.
05/06/1937,19:25,"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,LZ 129,Frankfurt - Lakehurst N.J.,Zeppelin LZ-129,D-LZ-129,D-LZ129,97,35,1,"The airship Hindenburg caught fire and burned while being moored at Lakehurst, New Jersey.  Possible causes were statidischarge which ignited leaking hydrogen or sabotage. It has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. Thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a statidischarge between the Hindenburg's outer skin and frame causing the hydrogen to ignite."
05/20/1937,,"Stuttgart, Germany",Deutsche Lufthansa,,,Heinkel He-70,D-UXUV,916,4,4,0,Crashed on takeoff.
07/02/1937,,"Off Lae, New Guinea",Private - Purdue Reasearch Foundation,,Lae - Howland Island,Lockheed 10E Electra,NR16020,1055,2,2,0,"The plane disappeared while en route from  Lae to Howland Island. The aircraft had to be flown higher than expected due to storms which used extra fuel.  In addition, strong head winds were encountered.  The aircraft most likely ran out of fuel and ditched into the ocean 50 to 100 miles northwest of Howland Island. Amelia Earhart, 40, and navigator Fred Noonan, killed."
07/28/1937,,"Hal, Belgium",KLM Royal Dutch Airlines,,Amsterdam - Paris,Douglas DC-2-115L,PH-ALF,1585,15,15,0,The aircraft crashed  into a potato field after possibly being struck by lightning and after an in-flight fire.
08/02/1937,,"Wadi Halfa, Sudan",Ala Littoria,,"Rome, Italy - Kartoum",Savoia-Marchetti SM73,I-SUSA,30014,9,9,0,Crashed into a building on takeoff.
08/03/1937,,"Off Cristobal, Panama",Pan American Grace Airways,,"Santiago, Chili - Cristobal, Panama",Sikorsky S-43,NC15065,4305,14,14,0,The flying boat plunged into the ocean 20 miles off of Cristobal. The plane probably struck the water at high speed and was destroyed by an immediate explosion and fire.
08/08/1937,10:50,"Chilang Point, Bias Bay, China",China National Aviation Corporation,,Canton - Shanghi,Sikorsky S-43,,,11,3,0,Forced to ditch into the sea due to bad weather. One wing broke off due to high waves and 8 passengers hung on to the remaining wing until rescued.
08/10/1937,04:40,"Daytona Beach, Florida",Eastern Air Lines,7,Chicago - Daytona,Douglas DC-2,NC-13739,1289,9,4,0,The plane struck a power pole while taking off from Daytona and crashed to the ground 600 feet from the first point of impact. The absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off.
08/23/1937,,"San Luis, Argentina",Pan American Grace Airways,,Mendosa - Cordoba,Douglas DC-2,NC14298,,3,3,0,Crashed and burned in dense fog while enroute.
08/27/1937,,"Wau, Australia",Guinea Airways,,,Stinson SR-7 Reliant,VH-URC,,2,1,0,
03/23/1938,,"Corsavy, France",Air France,,,Dewoitine D-338,F-AQBB,02,8,8,0,The mail plane crashed into the Pyrenees mountains while en route.
10/01/1937,,"Phaleron Bay, Greece",Imperial Airways,,"Alexandria, Egypt  - Athens, Greece",Short Empire Flying Boat,G-ADVC,,14,2,0,Crashed as it landed in Phaleron Bay. Two passengers drowned. Poor visibility was blamed for the accident.
10/06/1937,,"Palembang, Netherlands Indies",KLM Royal Dutch Airlines,,,Douglas DC-3,PH-ALS,,5,4,0,"Bronislaw Hubermann, celibrated Polish violinist was sightly injured."
10/17/1937,21:00,"Haydens Peak, Wyoming",United Air Lines,1,Cheyenne - Salt Lake City,Douglas DC-3,NC16074,1914,19,19,0,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Staticonditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front."
11/12/1937,,"Mannheim, Germany",Deutsche Lufthansa,,Berlin - Mannheim,Heinkel He-111,D-AXAV,1830,12,10,0,Hit the ground prematurely while attempting to land.
11/16/1937,,"Ostende, Belgium",Sabena,,Cologne - Brussels - London,Junkers JU-52/3m,OO-AUB,5827,11,11,0,
11/26/1937,,"Croydon, London",Deutsche Lufthansa,,,Junkers JU-52,D-AGAV,,3,3,0,
12/05/1937,09:00,"Brindisi Harbor, Italy",Imperial Airways,,India - London,Short Empire Flying Boat,G-ADUZ,,19,2,0,The flying boat crashed while attempting to take off. The aircraft was named Cygnus.
12/08/1937,,"Saint Sauveur, France",Air France,,,Potez 621,F-AOTZ,4213,7,2,0,Crashed in poor weather conditions.
12/24/1937,17:30,"Kasperske Hory, Czechoslovakia",Air France,,Bucharest - Vienna - Prague - Paris,Wibault 283-T12,F-AMYD,11,3,3,0,"The plane was 10 minutes from landing at Vienna when it was told to change course by the Prague airport controller. The change took the plane into mountainous terrain in snowy conditions. The plane impacted Hutska Hora mountain at an alitiude of 3,300 feet. The cause was never determined. Possibly a naviational error or for political reasons."
01/04/1938,,"Frankfurt, Germany",Deutsche Lufthansa,,"Milan, Italy - Frankfurt, Germany",Junkers JU-52/3m,D-ABUR,5777,6,6,0,Icing on the wing caused the plane to crash close to the plane's destination.
01/10/1938,15:07,"Bozeman, Montana",Northwest Orient Airlines,2,Seattle - Billings - Chicago,Lockheed 14H Super Electra,NC-17388,1407,10,10,0,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter 'natural resonance, or period of vibration' which resulted in the separation of the rudder and fins and loss of control of the aircraft."
01/11/1938,19:40,"Pago Pago, U.S. Samoa",Pan American World Airways,1,Honolulu - Pago Pago - Auckland,Sikorsky S-42 (flying boat),NC16734,4207,7,7,0,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or six crew members were ever found. The aircraft was named 'Samoan Clipper.'  Pan American's first pilot, Captain Edwin C. Musick, killed."
01/12/1938,,"North Pine, Ontario, Canada",General Airways,,Sioux Lookout - Hudson,Stinson Reliant,CF-BEI,,1,1,0,Crashed in rugged terrain while en route.
02/02/1938,20:40,"Off San Clemente Island, California",Military - U.S. Navy / Military - U.S. Navy,,,Consolidated PBY-2 / Consolidated PBY-2,04062 / 0463,,14,11,0,The two aircraft crashed in mid-air in heavy rain and darkness and crashed into the sea.
02/05/1938,,"Kandalaksha, Russia",TsAGI,,Moscow - Murmansk,V6 (airship),CCCP-V6,,19,13,0,The airship crashed while on a trial flight in preparation of rescuing  Russian scientists on an ice floe in Greenland. The airship crashed into the side of a mountain.
02/09/1938,,"Marseille, France",Air France,,"Marseille, France - Ajaccio, Corsica",Lioré-et-Olivier H-242,F-ANPB,05,12,8,0,The flying boat struck the breakwater at 60 miles an hour and burst into flames while attempting to take off.
02/09/1938,,"Guadalupe, Mexico",Mexicana,,Test flight,Lockheed 10 Electra,XA-BAS,,2,2,0,Crashed on a second test flight.
02/22/1938,,"Pontoise, France",Deutsche Lufthansa,,"Berlin, Germany - Paris, France",Junkers JU.52,D-APAR,,3,3,0,Crashed in fog within a few miles of it's destination near Bourget Airport.
03/01/1938,21:30,"Near Wawona, Cailifornia",Trans Continental and Western Air,8,San Francisco - Burbank,Douglas DC-2-112,NC13789,1299,9,9,0,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.
03/07/1938,,"Datia, India",Air France,,"Hanoi, Vietnam - Paris, France",Potez 621,F-ANQR,4031/12,7,7,0,Crashed and burst into flames shortly after taking off from Dum Dum.
03/08/1938,,"Somerton, Australia",Australian National Airways,,,De Havilland DH-60,VH-UNU,,1,1,0,
04/12/1938,,"Near Formia, Italy",Ala Littoria,,,Junkers JU-52,I-BAUS,4063,19,19,0,Crashed into mountains.
05/05/1938,,"Balbuena, Mexico",Lineas Aéreas Mineras,,Mexico City - Juarez,Lockheed Vega 5B,XA-BFR,124,6,1,0,Crashed en route
05/10/1938,,"Mangere, New Zealand",United Airways of New Zealand,,,Lockheed 10 Electra,ZK-AFC,,2,2,0,
05/16/1938,02:07,"Near Saugus, California",Northwest Orient Airlines,,"Burbank,- St. Paul",Lockheed 14-H2 Super Electra,NC17394,1439,9,9,0,"Struck Stroh peak at 3,300 feet in Mint Canyon, 27 minutes after taking off from Burbank Airport. The aircraft struck a ridge, bounded over a ravine and struck a second ridge, broke up and burst into flames."
05/22/1938,13:40,"Sao Paulo, Brazil",Cruzeiro do Sul,,,Junkers JU-52/3m,PP-CBC,5453,17,2,0,The mail plane crashed while taking off.
05/24/1938,22:17,"Cleveland, Ohio",United Air Lines,9,Newark - Cleveland - Chicago,Douglas DST-A-207A,NC18108,1956,10,10,0,An uncontrollable fire developed in the right engine and the pilot decided to make an emergency landing rather than try to reach Cleveland Airport. The plane struck trees in level flight 8.5 miles east of Cleveland Airport. A fire in the right engine accessory section which resulted from the failure of a cylinder barrel and was fed from the right engine oil supply.
05/27/1938,,Germany,Deutsche Lufthansa,,,Heinkel 116,D-ATIO,,3,3,0,
05/27/1938,,"Alberno Canal, BC, Canada",Ginger Coote Airways,,,Fairchild 51,CF-AUX,,1,1,0,
06/08/1938,,Tanganyika,Wilson Airways,,,De Havilland DH-85,VP-KBE,,3,3,0,
06/19/1938,,"Mount  Mercedario, Chile",Pan American Grace Airways,,,Douglas DC-2,NC14272,,4,4,0,"An hour after leaving Santiago, radio contact with the flight was lost, as it had crashed in the high Andes.  It was not found until February 1941, by indians, who plundered the aircraft and the dead passengers looking for valuables."
07/08/1938,02:56,"Billings, Montana",Northwest Orient Airlines,4,Seattle - Chicago,Lockheed 14 Super Electra,NC17383,,10,10,0,"While taking off from Billings, the airplane left the ground in a stalled condition from which the pilot attempted to recover by use of full emergency power. Emergency power was not available because of improper adjustment of the stop which had been placed on the quadrant of the propeller pitch control levers, preventing the levers from going to the full low pitch position. As a result of the stalled condition, the airplane fell off on the right wing and crashed at a point 1,100 feet beyond the NE runway, the pilot having cut the switch just prior to the impact."
07/14/1938,,"Off Sardinia, Italy",Ala Littoria,,Cagliari - Rome,Savoia Marchetti S-66,I-VOLO,15013,20,20,0,The flying boat crashed into the Tyrrhenian Sea after the collapse of a wing.
07/22/1938,,"Stulpica, Romania",LOT Polish Airlines,,"Warsaw, Poland - Bucharest, Romania",Lockheed 14H Super Electra,SP-BNG,1432,14,14,0,Crashed after being struck by lightning.
07/24/1938,13:00,Near Bogota Colombia,Military - Colombian Army,,,Curtiss-Wright Hawk,,,1,1,52,One aircraft from a squadron performing aerobatics before a large crowd crashed into the grandstands. A gust of wind caused the aircraft to lose control during a looping maneuver.
07/27/1938,,"Kisumu, Kenya",Imperial Airways,,Kisumu - Alexandria,Armstrong-Withworth Atlanta,G-ABTG,AW-785,4,4,0,Flew into a hillside soon after takeoff from Kisumu. The ship was named 'Amalthea.'
07/29/1938,04:11,PacifiOcean between Manila and Guam,Pan American World Airways,229,Alameda - Manila,Martin M-130 (flying boat),NC14714,556,15,15,0,"The plane crashed into the ocean while en route between Guam and Manilla. The last known position was 12.27 N, 130.40 W or 582 nm east southeast of Manila at 04:00 GCT. Cause unknown. The plane may have been hijacked by the Japanese and flown to Truk Island where the crew and passengers were murdered. The aircraft was named 'Hawaii Clipper.'"
08/10/1938,,"Shishijima, Japan",Dai Nippon,,,Douglas DF-151,J-ANES,,6,6,0,
08/10/1938,,"Debrecen, Hungary",,,,Ford Tri-motor,,,12,12,0,The plane was carrying Hungarian journalists.
08/13/1938,,"Kiel, Germany",CSA Czech Airlines,,"Prague - Paris, France",Savoia-Marchetti SM73,OK-BAG,,17,16,0,Crashed into the Black Forest mountains in poor weather conditions. One stewardess survived.
08/15/1938,,"Guanabara, Brazil",Syndicato Condor,,Guanabara - Victoria,Junkers JU-52/3m,PP-CAT,4024,9,9,0,"Flew into a mountain wave after taking off, went into a dive and crashed into Guanabara Bay."
08/18/1938,,"Bucharest, Romania",LOT Polish Airlines,,,Lockheed 14 Electra,SP-BNJ,1424,7,7,0,Caught fire after a ground looping.
08/18/1938,,"Montnago, Italy",Macchi,,Sightseeing,Macchi C-94,I-NILO,94001,13,13,0,The sea plane crashed shortly after taking off.
08/24/1938,08:00,"Wangmoon, China",China National Aviation Corporation,,Hong Kong - Chungking,Douglas DC-2,32,1369,17,14,0,"While en route from Hong Kong to Chungking, the aircraft was shot down by Japanese military fighters. The aircraft was named Kweilin."
08/29/1938,,"Innisfail, Australia",North Queensland Airways,,,De Havilland DH-84,VH-UXK,,9,5,0,Crashed into a cane field while attempting to land when the pilot swerved to avoid a tractor.
10/01/1938,,"Off Bathurst, Gambia",Deutsche Lufthansa,,,Dornier DO.18,,,4,4,0,
10/01/1938,,"Grisons, Switzerland",Deutsche Lufthansa,,,Junkers JU-52/3m,D-AVFB,5928,13,13,0,Missing. One postal bag found in a glacier.
10/10/1938,,"Soest, Germany",Sabena,,Brussells - Berlin,Savbia-Marchetti  S-73P,OO-AGT,,20,20,0,The aircraft broke-up in midair and crashed to the ground.Airport.
10/25/1938,,"Mt. Dandenong, Australia",Australian National Airways,,Adelaide - Melbourne,Douglas DC-2-112,VH-UYC,1566,18,18,0,Crashed into Mt. Daodenong while en route
11/02/1938,,"Somerset, England",British Airways,,,Lockheed 14 Electra,CF-TCL,,2,2,0,
11/04/1938,10:50,"Channel Islands, Jersey",Jersey Airways,,Channel Islands - Southhampton,de Havilland DH-86,G-ACZN,2316,14,14,1,Caught fire and crashed into a field two minutes after taking off. A farm worker was crushed to death when the wreckage landed on him.
11/14/1938,18:41,"Schiphol, Amsterdam",KLM Royal Dutch Airlines,,Berlin-Amsterdam,Douglas DC-3,PH-ARY,2021,19,6,0,The aircraft flew into the ground during approach in poor visibility. The first officer was commander of the military flying school Soesterberg.
11/18/1938,00:51,"Regina, Saskatchewan, Canada",Trans Canada Air Lines,,Winnipeg - Regina - Vancouver,Lockheed 14 Electra,CF-TCL,,2,2,0,The mail plane crashed several minutes after taking off from Regina
11/26/1938,,"Bathurst, Gambia",Deutsche Lufthansa,,,Junkers JU90V2,D-AIVI,4914,15,11,0,During takeoff the aircraft hit a palm tree and burst into flames due to engine failure.
11/27/1938,,"Bagdad, Iraq",Imperial Airways,,,Short Empire Flying Boat,G-AETW,,6,4,0,The flying boat crashed on Lake Ramadi.
11/29/1938,05:30,"Off Point Reyes, California",United Air Lines,6,Medford - Oakland,Douglas DC 3-A-SB-3-G-14,NC16066,1907,7,7,0,"The aircraft ran out of fuel and ditched into the ocean. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply."
12/08/1938,,"Off Kubashima, Japan",Japan Aviation Corporation,,,Nakajima DC-2,,,12,10,0,Crashed into the sea near Okinawa due to engine failure.
12/09/1938,,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,,Instructional Flight,Lockheed 14-WF62 Super Electra,PH-APE,1413,4,4,0,Struck a dyke near Schiphol Airport and caught fire while taking off.
12/12/1938,,"Darwin, Australia",Qantas,,,Short S23 ‘C’ Class flying boat,G-AEUH,,13,13,0,Shot down by Japanese aircraft. Owned by Imperial Airways and operated by Qanta
01/07/1939,,"Paris, France",Swissair,,Zurich - Geneva - Paris,Douglas DC-2-115B,HB-ITA,1329,9,5,0,The aircraft crashed while attempting to land.
01/13/1939,21:15,"Miles City, Montana",Northwest Orient Airlines,1,Chicago - Seattle,Lockheed 14-H Super Electra,NC17389,1408,4,4,0,"The aircraft crashed 2,650 feet past the runway boundry after taking off. A fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve. It  was not possible to determine the exact origin and source of the fire."
01/13/1939,,"Rio de Janeiro, Brazil",Syndicato Condor,,,Junkers JU-52/3m,PP-CAY,4042,9,9,0,The seaplane crashed in flames in mountains northeast of Rio de Janeiro.
01/18/1939,,"Katherine, Australia",Guinea Airways,,Katherine - Adelaide,Lockheed 14 Electra,VH-ABI,,4,4,0,Crashed into the Katherine River during a storm.
01/21/1939,12:30,AtlantiOcean between N.Y. and Bermuda,Imperial Airways,,New York City - Bermuda,Short S-23 (flying boat),G-ADUU,S-812,13,3,0,"While en route, the aircraft ditched, broke in two  and sank in the AtlantiOcean, 285 miles SE of Long Island New York. Complete loss of power to the two inner engines and partial loss of power to the two outer engines due to carburetor icing. The aircraft was named Cavalier."
02/24/1939,,Mediterranean Sea,Deutsche Lufthansa,,,Junkers JU-52/3m,D-ALUS,,10,10,0,Crashed into the Mediterranean Sea.
03/14/1939,,"Haren, Belgium",Sabena,,,Junkers JU-52,OO-AUA,,3,3,0,
03/16/1939,,"Manzanares, Colombia",Deutsche Lufthansa,,,Junkers JU-86,,,8,8,0,
03/18/1939,,"Near Adler, Washington",Boeing Aircraft Company,-,Test flight,Boeing 307 Stratoliner,NX19901,1994,10,10,0,"The aircraft crashed after the tail broke off. Dutch engineer A.G. von Baumhauer among those killed.  He was a famous helicopter pioneer who first came up with the tail rotor/main rotor configuration which is in use today. Strructural failure of the wings and horizontal tail surfaces due t o the imposition of loads thereon in excess of those for which they were designed, the failure occurring in an abrupt pull-out from a dive following recovery from an inadvertent spin."
08/09/1940,,"Hannover, Germany",Deutsche Lufthansa,,,Douglas DC-2-115H,D-AIAV,1366,13,2,0,Pilot error.
06/03/1941,17:00,AtlantiOcean,Great Western and Southern Air Lines,,,de Havilland DH-84 Dragon,G-ACPY,6076,6,6,0,Shot down by a He-111 German military aircraft.
03/26/1939,14:48,"Oklahoma City, Oklahoma",Braniff Airlines,1,Chicago - Dallas,Douglas DC-2-112,NC13727,1253,12,8,0,"An explosion in an engine, just after takeoff blew the two halves of the cowl open creating excessive drag and causing the left wing to drop. The captain tried to circle back, but the wing impacted an embankment along a section line road and crashed about 100 yards inside the boundary. Either the hot metal of the engines or some other source ignited the fuel spilling out of the ruptured tank and the cabin was quickly engulfed in flames. The initial cause of the explosion was a cylinder blow out which was a problem with that particular engine and had caused problems in two other aircraft, a TWA and United DC-2, both of which landed safely."
04/03/1939,,"Near Marrakech, Morocco",Air France,,,Caudron C.635 Simoun,F-AOOT,7372,9,9,0,Crashed into a mountain.
05/01/1939,,Mocambique,Imperial Airways,,,Short Empire Flying Boat,G-ADVD,,6,2,0,
05/02/1939,,"Near Marrakech, Morocco",Air France,,"Casablanca, Morocco - Dakar, Senegal",Dewoitine D-338,F-ARIC,25,9,9,0,Crashed due to icing.
05/08/1939,12:00,"Guayaquil, Ecuador",Military - Ecuadorian Air Force,,,Curtiss-Wright C-14 Osprey,,,1,1,22,"While performing aerobatics, the aircraft lost control and crashed into numerous building near a college."
06/10/1939,,"Vlissingen, The Netherlands",KLM Royal Dutch Airlines,,,Koolhoven FK.43,PH-AJK,,3,3,0,
07/20/1939,,"Konstanz, Switzerland",Swissair,,"Vienna, Austria - Zurich, Switzerland",Junkers JU86 Z-2,HB-IXA,086/0951,6,6,0,The aircraft crashed after an engine fire.
08/04/1939,,"Barcelona, Spain",Deutsche Lufthansa,,"Toulouse, France - Casablanca, Morocco",Junkers JU-52/3m,D-AUJG,5942,7,7,0,Crashed in the Llaveria mountains in heavy fog and caught fire. The plane hit the highest peak of the mountains.
08/13/1939,16:35,"Rio de Janerio, Brazil",Pan American World Airways,,Miami - Rio de Janerio,Sikorsky S43 (flying boat),NC16933,,16,14,0,"The plane lost power from the left engine, yawed to the left, and started a descending turn in the same direction. The plane continued to lose altitude and turn at a sharper and steeper angle until it struck a caisson anchored at right angles to a small island in the harbor immediately adjacent to its landing approach path.   Loss of power from the left engine during the landing approach, necessitating an attempted landing under extremely hazardous conditions."
08/15/1939,,"Off Copenhagen, Denmark",British Airways,,London - Hamburg - Copenhagen,Lockheed 10 Electra,G-ASEY,,6,5,0,Crashed into the sea after a fire aboard.
08/28/1939,,"Lahore, India",Indian National Airways,,,De Havilland D-84,VT-AEL,,2,2,0,
08/30/1939,,"Hannover, Germany",Deutsche Lufthansa,,Berlin - Hanover - Cologne - London,Junkers JU-52/3m,D-AFOP,5800,7,7,0,The aircraft crashed while taking off from Hanover. Visibility was poor because of low fog covering the runway. The pilot was searching for the proper flight path when the plane veered towards a building while still 40 meters above the ground. The pilot tried to raise the plane while trying to turn left at the same time but lost control and crashed and the plane caught fire.The passengers were pilots of Lufthansa.
09/26/1939,,North Sea,KLM Royal Dutch Airlines,,Stockholm - Amsterdam,Douglas DC-3,PH-ASM,2142,,1,0,One Swedish passenger was killed when the plane was attacked by German fighters. The plane was able to land safely in Amsterdam.
11/20/1939,,"Gosport, England",British Airways,,,Airspeed Oxford,G-AFFM,,2,2,,
12/18/1939,,South of Gibraltar,Iberia Airlines,,Alcante - Morocco,Junkers JU-52,M-CABA,5854,10,10,0,Shot down by British anti-aircraft fire. Crashed 6 miles south of Europa Point.
12/21/1939,,Off Malta-Luqa,Imperial Airways,,Egypt - England,Lockheed 14 Super Electra,G-AFYU,1444,11,5,0,Crashed into the sea.
12/24/1939,,"Mogador, Morocco",Linee Aeree Italiane,,Rome - Rio de Janerio,Savoia-Marchetti SM83,I-ARPA,34017,7,7,0,Crashed in a storm while attempting to make a forced landing.
01/15/1940,,"Denpasar, Indonesia",KNILM,,,Lockheed 14 Super Electra,PK-AFO,1415,9,8,0,
03/01/1940,,Gulf of Oman,Imperial Airways,,Jask to Sharjah,Handley Page HP-42,G-AAGX,HP42/1,8,8,0,Crashed in the Persian Gulf while en route with out a trace. The aircraft was named 'Hannibal.'
04/22/1940,,"Near Loch Lomond, Scotland",British Overseas Airways,,"Perth, Scotland - London, England",Lockheed 14 Super Electra,G-AFKD,1484,3,3,0,
06/02/1940,,"El Segundo, California",Douglas Aircraft Company,,Test flight,Douglas DC-3,,,5,5,0,Crashed and burned during a government test flight
06/14/1940,14:00,"Off Prangli Island, Gulf of Finland, Estonia",Aero O-Y,,"Tallinn, Estonia - Helsinki, Finland",Junkers JU-52/3mge,OH-ALL,5494,9,9,0,The plane was en route when it was shot down by two Soviet Tupolev SB-2 bombers. The aircraft  crashed 2-3 nm offshore of Prangli Island near Keri Lighthouse. The aircraft was named Kaleva.
06/20/1940,,"Near Ouistreham, France",Air France,,,Dewoitine D-338,F-ARTD,22,1,1,0,Inadvertently shot down by French anti-aircraft fire.
07/07/1940,,Gulf of Tonkin,Air France,,,Dewoitine D-338,F-AQBA,1,,,,Shot down by a Japanese military fighter.
08/13/1940,10:15,"Near Canberra, Australia",Military - Royal Australian Air Force,,Melbourne - Canberra,Lockheed Hudson A16-97,,,10,10,0,"The plane was seen circling Canberra Aerodrome after which it headed west to make the final approach for landing. The aircraft momentarily disappeared behind one of the hills that surround the airport, then reappeared. There was the sound of engines being gunned, then the aircraft disappeared again. An explosion and sight  of a large plume of black smoke followed. All on board the Hudson were killed including several high ranking Australian military leaders. A witness later said the aircraft appeared to drop its left wing and then dip its nose steeply, classisymptoms of a stall, too close to the ground for recovery."
08/23/1940,,"Cluj, Romania",LARES,,,Douglas DC-3,YR-PAF,1986,18,14,0,Crashed into a mountainous area during a hail storm.
08/31/1940,14:41,"Near Lovettsville, Virginia",Pennsylvania Central Airlines,19,Washington D.C. - Detroit,Douglas DC-3,NC21789,2188,25,25,0,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed."
10/29/1940,,"Near Changyi, China",China National Aviation Corporation,,Chungking - Kunming,Douglas DC-2,NC14297,1369,14,9,0,Shot down by Japanese military fighters. The plane ran into 5 Japanese fighters and made an emergency landing at a remote field only to be machine-gunned while trying to escape.
